listing_id,avg_price,median_price,min_date,max_date,n_observations,n_unique_dates,season_high
38262480,1305.7692307692307,1200.0,2025-01-31,2025-02-26,78,27,1305.7692307692307
38319706,571.2604163461539,590.0,2025-01-13,2025-04-20,208,80,571.2604163461539
38447436,1048.0977443609022,1127.0,2025-01-10,2025-04-20,266,101,1048.0977443609022
38514587,868.5097842105263,874.625,2025-01-19,2025-04-20,247,92,868.5097842105263
38616586,371.54824526315787,367.0,2025-02-23,2025-04-06,38,38,371.54824526315787
38638326,665.3287045454546,675.0,2025-01-24,2025-04-20,198,80,665.3287045454546
38693604,596.4285714285714,650.0,2025-01-21,2025-04-20,168,85,596.4285714285714
38695314,629.8933333333333,600.0,2025-01-12,2025-04-20,150,62,629.8933333333333
38730549,807.6088088082902,767.0,2025-01-19,2025-04-20,193,78,807.6088088082902
38800430,443.6625,415.0,2025-02-08,2025-04-07,80,34,443.6625
38852725,516.3962264150944,450.0,2025-01-26,2025-04-20,159,62,516.3962264150944
38899673,565.7662086956522,500.0,2025-01-23,2025-04-19,207,78,565.7662086956522
38957661,546.8852459016393,400.0,2025-01-22,2025-04-20,122,55,546.8852459016393
38980085,995.0176991150443,930.0,2025-01-13,2025-04-20,226,90,995.0176991150443
38998610,195.0,195.0,2025-01-22,2025-04-20,68,68,195.0
39007372,1101.19203187251,1100.0,2025-01-16,2025-04-20,251,95,1101.19203187251
39051477,1539.6935467741935,1500.0,2025-01-19,2025-04-20,248,92,1539.6935467741935
39059902,599.2564102564103,750.0,2025-01-10,2025-04-07,78,78,599.2564102564103
39109062,1499.9111097435896,1400.0,2025-01-29,2025-04-20,195,74,1499.9111097435896
39145712,811.4933333333333,662.0,2025-02-07,2025-03-24,75,31,811.4933333333333
